15;43,16;44
10;41,11;41
8;33,8;34
9;34,10;34
9;34,9;33
4;32,5;32
2;35,3;34
2;34,3;34
2;34,2;33
4;5,5;5
4;5,5;6
4;6,5;6
4;7,5;6
5;4,5;5
5;5,6;5
5;5,6;6
5;6,6;6
5;7,6;6
5;4,5;5
6;4,5;5
6;6,5;5
6;5,5;5
6;4,6;5
6;4,7;4
6;3,7;4
7;4,7;5
7;5,8;5
7;4,8;4
20;7,21;6
21;5,22;4
25;4,25;3
25;4,26;4
25;4,25;5
25;8,26;8
25;10,26;10
25;11,26;10
25;11,26;11
16;26,16;27
18;28,17;29
18;28,18;29
19;28,19;29
26;43,27;44
26;44,27;44
26;45,27;44
35;41,36;42
41;31,42;32
42;33,42;32
55;30,56;30
55;30,55;29
55;30,54;29
54;29,55;29
55;28,55;29
55;28,56;28
55;27,56;28
56;27,56;28
59;34,58;33
