21;12,22;12
21;13,22;13
22;14,22;13
23;14,22;13
23;13,22;13
23;13,23;12
23;13,24;12
25;13,25;12
26;12,25;12
26;12,26;11
27;12,26;11
27;12,27;11
27;12,28;12
27;13,28;12
28;13,28;12
28;13,29;12
28;13,29;13
28;13,29;14
28;14,29;14
28;15,29;14
28;15,29;15
29;16,29;15
30;16,29;15
31;16,31;15
32;16,31;15
32;16,32;15
32;16,33;16
32;17,33;16
33;17,33;16
32;17,33;17
32;17,33;18
32;18,33;18
32;19,33;18
32;19,33;19
33;20,33;19
33;20,34;20
33;20,33;21
33;20,32;21
32;20,32;21
31;21,32;21
31;21,32;22
31;21,31;22
30;22,31;22
30;21,31;22
30;22,30;23
29;23,30;23
29;23,30;24
29;24,30;24
29;24,29;25
28;25,29;25
28;25,29;26
29;28,30;28
29;29,30;28
30;30,30;29
29;29,30;29
30;30,31;30
34;16,33;17
34;16,33;17
34;16,34;17
35;16,34;17
35;16,35;17
36;16,35;17
36;16,36;17
36;16,37;16
36;16,36;15
35;15,36;15
36;14,36;15
37;14,36;15
37;14,37;15
37;14,38;14
37;13,38;14
37;13,38;13
38;12,38;13
38;12,39;12
38;12,38;11
37;11,38;11
38;10,38;11
38;10,39;10
38;10,38;9
38;10,37;9
37;10,37;9
37;10,36;9
36;10,36;9
36;10,35;9
36;10,35;10
36;10,35;11
36;11,35;11
36;12,36;11
36;12,37;12
23;7,24;6
24;7,24;6
24;7,25;7
25;8,25;7
25;8,26;8
25;9,26;8
25;9,26;9
25;9,26;10
26;9,26;8
26;9,27;8
26;9,27;9
27;10,27;9
28;10,27;9
28;10,28;9
29;10,28;9
29;9,28;9
29;9,29;8
29;9,30;8
30;9,30;8
30;9,31;8
31;9,31;8
32;8,31;8
32;8,31;7
32;8,32;7
31;7,32;7
31;7,32;6
31;6,32;6
31;6,31;5
31;6,30;5
30;6,30;5
29;5,30;5
29;5,30;4
29;4,30;4
29;4,29;3
28;3,29;3
29;2,29;3
29;2,30;3
33;8,32;7
33;7,32;7
33;7,33;6
33;7,34;6
34;7,34;6
34;7,35;6
35;7,36;6
35;7,36;7
36;8,36;7
37;8,36;7
37;7,36;7
37;6,36;6
37;6,36;7
37;6,36;6
37;6,37;5
37;6,38;6
35;0,36;0
35;1,36;0
35;1,36;1
36;2,36;1
37;2,36;1
37;1,36;1
37;1,37;0
37;1,38;1
38;0,37;0
38;0,39;0
38;0,38;1
38;2,38;1
38;2,39;2
38;3,39;2
38;3,39;3
38;3,39;4
38;4,39;4
38;4,38;5
37;5,38;5
38;6,38;5
38;6,39;6
38;7,39;6
39;7,39;6
33;29,34;29
34;28,34;29
34;28,35;28
34;27,35;28
34;27,35;27
34;27,35;26
34;26,35;26
34;26,35;25
34;25,35;25
34;24,35;25
34;24,35;24
34;23,35;24
35;23,35;24
35;23,36;24
35;23,36;23
36;22,36;23
37;22,36;23
37;22,37;23
38;22,37;23
38;22,38;23
39;22,38;23
39;23,38;23
39;23,40;24
40;23,40;24
40;23,41;24
40;23,41;23
40;35,41;35
41;36,41;35
41;36,42;36
41;37,42;36
41;37,42;37
42;38,42;37
42;38,43;38
42;39,43;38
43;39,43;38
43;39,44;38
43;39,44;39
44;40,44;39
44;40,45;40
44;41,45;40
44;41,45;41
